------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:16:59 (uptime: 0d, 00h 00m 13s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.avg_pkt_size                          | Total                     | 212
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 134
flow.total                                    | Total                     | 1017
flow.active                                   | Total                     | 399
flow.tcp                                      | Total                     | 592
flow.udp                                      | Total                     | 409
flow.icmpv6                                   | Total                     | 16
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.spare_sync_incomplete                | Total                     | 1
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
decoder.event.ipv4.opt_pad_required           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 17
flow.wrk.flows_evicted_needs_work             | Total                     | 393
flow.wrk.flows_evicted_pkt_inject             | Total                     | 577
flow.wrk.flows_evicted                        | Total                     | 68
flow.wrk.flows_injected                       | Total                     | 393
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 560
tcp.ssn_from_cache                            | Total                     | 337
tcp.ssn_from_pool                             | Total                     | 223
tcp.segment_from_cache                        | Total                     | 100
tcp.segment_from_pool                         | Total                     | 750
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 99
app_layer.flow.tls                            | Total                     | 21
app_layer.flow.dns_tcp                        | Total                     | 34
app_layer.tx.dns_tcp                          | Total                     | 68
app_layer.flow.quic                           | Total                     | 11
app_layer.tx.quic                             | Total                     | 54
app_layer.flow.snmp                           | Total                     | 28
app_layer.tx.snmp                             | Total                     | 65
app_layer.flow.failed_tcp                     | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 167
app_layer.tx.dns_udp                          | Total                     | 334
app_layer.flow.failed_udp                     | Total                     | 203
flow.end.state.new                            | Total                     | 398
flow.end.state.closed                         | Total                     | 220
flow.end.tcp_state.syn_sent                   | Total                     | 205
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 217
flow.mgr.full_hash_pass                       | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9225
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1883
flow.mgr.flows_notimeout                      | Total                     | 1267
flow.mgr.flows_timeout                        | Total                     | 616
flow.mgr.flows_evicted                        | Total                     | 617
flow.mgr.flows_evicted_needs_work             | Total                     | 393
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 224
flow.recycler.queue_max                       | Total                     | 10
tcp.memuse                                    | Total                     | 3113152
tcp.reassembly_memuse                         | Total                     | 856064
http.memuse                                   | Total                     | 5082
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:21:08 (uptime: 0d, 00h 04m 22s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 8119
capture.afpacket.polls                        | Total                     | 15666
capture.afpacket.poll_timeout                 | Total                     | 9898
capture.afpacket.poll_data                    | Total                     | 5768
decoder.pkts                                  | Total                     | 8123
decoder.bytes                                 | Total                     | 1820620
decoder.ipv4                                  | Total                     | 6637
decoder.ipv6                                  | Total                     | 995
decoder.ethernet                              | Total                     | 8123
decoder.arp                                   | Total                     | 309
decoder.unknown_ethertype                     | Total                     | 184
decoder.tcp                                   | Total                     | 5171
tcp.syn                                       | Total                     | 702
tcp.synack                                    | Total                     | 351
tcp.rst                                       | Total                     | 26
decoder.udp                                   | Total                     | 2188
decoder.icmpv6                                | Total                     | 257
decoder.avg_pkt_size                          | Total                     | 224
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 142
flow.total                                    | Total                     | 1064
flow.active                                   | Total                     | 426
flow.tcp                                      | Total                     | 616
flow.udp                                      | Total                     | 432
flow.icmpv6                                   | Total                     | 16
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.spare_sync_incomplete                | Total                     | 1
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
decoder.event.ipv4.opt_pad_required           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 17
flow.wrk.flows_evicted_needs_work             | Total                     | 408
flow.wrk.flows_evicted_pkt_inject             | Total                     | 601
flow.wrk.flows_evicted                        | Total                     | 69
flow.wrk.flows_injected                       | Total                     | 408
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 583
tcp.ssn_from_cache                            | Total                     | 360
tcp.ssn_from_pool                             | Total                     | 223
tcp.segment_from_cache                        | Total                     | 141
tcp.segment_from_pool                         | Total                     | 785
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 103
app_layer.flow.tls                            | Total                     | 24
app_layer.flow.dns_tcp                        | Total                     | 38
app_layer.tx.dns_tcp                          | Total                     | 76
app_layer.flow.quic                           | Total                     | 12
app_layer.tx.quic                             | Total                     | 59
app_layer.flow.snmp                           | Total                     | 30
app_layer.tx.snmp                             | Total                     | 70
app_layer.flow.failed_tcp                     | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 177
app_layer.tx.dns_udp                          | Total                     | 354
app_layer.flow.failed_udp                     | Total                     | 213
flow.end.state.new                            | Total                     | 408
flow.end.state.closed                         | Total                     | 230
flow.end.tcp_state.syn_sent                   | Total                     | 210
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 3
flow.end.tcp_state.closed                     | Total                     | 227
flow.mgr.full_hash_pass                       | Total                     | 25
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9230
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 1931
flow.mgr.flows_notimeout                      | Total                     | 1299
flow.mgr.flows_timeout                        | Total                     | 632
flow.mgr.flows_evicted                        | Total                     | 633
flow.mgr.flows_evicted_needs_work             | Total                     | 404
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 229
flow.recycler.queue_max                       | Total                     | 10
tcp.memuse                                    | Total                     | 3113152
tcp.reassembly_memuse                         | Total                     | 923648
http.memuse                                   | Total                     | 5082
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:21:16 (uptime: 0d, 00h 04m 30s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 8466
capture.afpacket.polls                        | Total                     | 16223
capture.afpacket.poll_timeout                 | Total                     | 10138
capture.afpacket.poll_data                    | Total                     | 6085
decoder.pkts                                  | Total                     | 8495
decoder.bytes                                 | Total                     | 1868042
decoder.ipv4                                  | Total                     | 6779
decoder.ipv6                                  | Total                     | 1008
decoder.ethernet                              | Total                     | 8495
decoder.arp                                   | Total                     | 520
decoder.unknown_ethertype                     | Total                     | 190
decoder.tcp                                   | Total                     | 5259
tcp.syn                                       | Total                     | 709
tcp.synack                                    | Total                     | 358
tcp.rst                                       | Total                     | 26
decoder.udp                                   | Total                     | 2248
decoder.icmpv4                                | Total                     | 7
decoder.icmpv6                                | Total                     | 257
decoder.avg_pkt_size                          | Total                     | 219
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 132
flow.total                                    | Total                     | 1095
flow.active                                   | Total                     | 431
flow.tcp                                      | Total                     | 623
flow.udp                                      | Total                     | 453
flow.icmpv4                                   | Total                     | 3
flow.icmpv6                                   | Total                     | 16
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.spare_sync_incomplete                | Total                     | 1
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
decoder.event.ipv4.opt_pad_required           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 17
flow.wrk.flows_evicted_needs_work             | Total                     | 422
flow.wrk.flows_evicted_pkt_inject             | Total                     | 625
flow.wrk.flows_evicted                        | Total                     | 71
flow.wrk.flows_injected                       | Total                     | 422
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 590
tcp.ssn_from_cache                            | Total                     | 367
tcp.ssn_from_pool                             | Total                     | 223
tcp.segment_from_cache                        | Total                     | 148
tcp.segment_from_pool                         | Total                     | 803
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 103
app_layer.flow.tls                            | Total                     | 25
app_layer.flow.dns_tcp                        | Total                     | 38
app_layer.tx.dns_tcp                          | Total                     | 76
app_layer.flow.quic                           | Total                     | 12
app_layer.tx.quic                             | Total                     | 59
app_layer.flow.snmp                           | Total                     | 33
app_layer.tx.snmp                             | Total                     | 76
app_layer.flow.failed_tcp                     | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 177
app_layer.tx.dns_udp                          | Total                     | 354
app_layer.flow.failed_udp                     | Total                     | 231
flow.end.state.new                            | Total                     | 421
flow.end.state.closed                         | Total                     | 243
flow.end.tcp_state.syn_sent                   | Total                     | 214
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 4
flow.end.tcp_state.closed                     | Total                     | 239
flow.mgr.full_hash_pass                       | Total                     | 26
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9242
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 2015
flow.mgr.flows_notimeout                      | Total                     | 1353
flow.mgr.flows_timeout                        | Total                     | 662
flow.mgr.flows_evicted                        | Total                     | 663
flow.mgr.flows_evicted_needs_work             | Total                     | 422
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 241
flow.recycler.queue_max                       | Total                     | 10
tcp.memuse                                    | Total                     | 3113152
tcp.reassembly_memuse                         | Total                     | 905216
http.memuse                                   | Total                     | 5082
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:21:24 (uptime: 0d, 00h 04m 38s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 8846
capture.afpacket.polls                        | Total                     | 16846
capture.afpacket.poll_timeout                 | Total                     | 10457
capture.afpacket.poll_data                    | Total                     | 6389
decoder.pkts                                  | Total                     | 8855
decoder.bytes                                 | Total                     | 1920998
decoder.ipv4                                  | Total                     | 6970
decoder.ipv6                                  | Total                     | 1073
decoder.ethernet                              | Total                     | 8855
decoder.arp                                   | Total                     | 617
decoder.unknown_ethertype                     | Total                     | 197
decoder.tcp                                   | Total                     | 5405
tcp.syn                                       | Total                     | 736
tcp.synack                                    | Total                     | 367
tcp.rst                                       | Total                     | 28
decoder.udp                                   | Total                     | 2341
decoder.icmpv4                                | Total                     | 7
decoder.icmpv6                                | Total                     | 274
decoder.avg_pkt_size                          | Total                     | 216
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 138
flow.total                                    | Total                     | 1129
flow.active                                   | Total                     | 439
flow.tcp                                      | Total                     | 646
flow.udp                                      | Total                     | 464
flow.icmpv4                                   | Total                     | 3
flow.icmpv6                                   | Total                     | 16
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.spare_sync_incomplete                | Total                     | 1
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
decoder.event.ipv4.opt_pad_required           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 17
flow.wrk.flows_evicted_needs_work             | Total                     | 438
flow.wrk.flows_evicted_pkt_inject             | Total                     | 649
flow.wrk.flows_evicted                        | Total                     | 72
flow.wrk.flows_injected                       | Total                     | 438
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 613
tcp.ssn_from_cache                            | Total                     | 388
tcp.ssn_from_pool                             | Total                     | 225
tcp.segment_from_cache                        | Total                     | 161
tcp.segment_from_pool                         | Total                     | 809
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 109
app_layer.flow.tls                            | Total                     | 25
app_layer.flow.dns_tcp                        | Total                     | 38
app_layer.tx.dns_tcp                          | Total                     | 76
app_layer.flow.quic                           | Total                     | 12
app_layer.tx.quic                             | Total                     | 59
app_layer.flow.snmp                           | Total                     | 33
app_layer.tx.snmp                             | Total                     | 76
app_layer.flow.failed_tcp                     | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 180
app_layer.tx.dns_udp                          | Total                     | 360
app_layer.flow.failed_udp                     | Total                     | 239
flow.end.state.new                            | Total                     | 436
flow.end.state.closed                         | Total                     | 254
flow.end.tcp_state.syn_sent                   | Total                     | 220
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 4
flow.end.tcp_state.closed                     | Total                     | 250
flow.mgr.full_hash_pass                       | Total                     | 27
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9252
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 2090
flow.mgr.flows_notimeout                      | Total                     | 1402
flow.mgr.flows_timeout                        | Total                     | 688
flow.mgr.flows_evicted                        | Total                     | 689
flow.mgr.flows_evicted_needs_work             | Total                     | 438
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 251
flow.recycler.queue_max                       | Total                     | 10
tcp.memuse                                    | Total                     | 3113312
tcp.reassembly_memuse                         | Total                     | 890880
http.memuse                                   | Total                     | 5082
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:21:32 (uptime: 0d, 00h 04m 46s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 9071
capture.afpacket.polls                        | Total                     | 17345
capture.afpacket.poll_timeout                 | Total                     | 10801
capture.afpacket.poll_data                    | Total                     | 6544
decoder.pkts                                  | Total                     | 9077
decoder.bytes                                 | Total                     | 1961168
decoder.ipv4                                  | Total                     | 7158
decoder.ipv6                                  | Total                     | 1095
decoder.ethernet                              | Total                     | 9077
decoder.arp                                   | Total                     | 625
decoder.unknown_ethertype                     | Total                     | 201
decoder.tcp                                   | Total                     | 5535
tcp.syn                                       | Total                     | 756
tcp.synack                                    | Total                     | 378
tcp.rst                                       | Total                     | 28
decoder.udp                                   | Total                     | 2412
decoder.icmpv4                                | Total                     | 7
decoder.icmpv6                                | Total                     | 283
decoder.avg_pkt_size                          | Total                     | 216
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 142
flow.total                                    | Total                     | 1156
flow.active                                   | Total                     | 450
flow.tcp                                      | Total                     | 665
flow.udp                                      | Total                     | 472
flow.icmpv4                                   | Total                     | 3
flow.icmpv6                                   | Total                     | 16
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.spare_sync_incomplete                | Total                     | 1
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
decoder.event.ipv4.opt_pad_required           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 17
flow.wrk.flows_evicted_needs_work             | Total                     | 452
flow.wrk.flows_evicted_pkt_inject             | Total                     | 667
flow.wrk.flows_evicted                        | Total                     | 72
flow.wrk.flows_injected                       | Total                     | 452
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 632
tcp.ssn_from_cache                            | Total                     | 407
tcp.ssn_from_pool                             | Total                     | 225
tcp.segment_from_cache                        | Total                     | 172
tcp.segment_from_pool                         | Total                     | 812
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 113
app_layer.flow.tls                            | Total                     | 25
app_layer.flow.dns_tcp                        | Total                     | 40
app_layer.tx.dns_tcp                          | Total                     | 80
app_layer.flow.quic                           | Total                     | 13
app_layer.tx.quic                             | Total                     | 67
app_layer.flow.snmp                           | Total                     | 33
app_layer.tx.snmp                             | Total                     | 76
app_layer.flow.failed_tcp                     | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 183
app_layer.tx.dns_udp                          | Total                     | 366
app_layer.flow.failed_udp                     | Total                     | 243
flow.end.state.new                            | Total                     | 446
flow.end.state.closed                         | Total                     | 260
flow.end.tcp_state.syn_sent                   | Total                     | 229
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 4
flow.end.tcp_state.closed                     | Total                     | 256
flow.mgr.full_hash_pass                       | Total                     | 27
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9253
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 2145
flow.mgr.flows_notimeout                      | Total                     | 1441
flow.mgr.flows_timeout                        | Total                     | 704
flow.mgr.flows_evicted                        | Total                     | 705
flow.mgr.flows_evicted_needs_work             | Total                     | 452
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 253
flow.recycler.queue_max                       | Total                     | 10
tcp.memuse                                    | Total                     | 3113216
tcp.reassembly_memuse                         | Total                     | 890880
http.memuse                                   | Total                     | 5082
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:21:40 (uptime: 0d, 00h 04m 54s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 9174
capture.afpacket.polls                        | Total                     | 17683
capture.afpacket.poll_timeout                 | Total                     | 11065
capture.afpacket.poll_data                    | Total                     | 6618
decoder.pkts                                  | Total                     | 9182
decoder.bytes                                 | Total                     | 1975405
decoder.ipv4                                  | Total                     | 7246
decoder.ipv6                                  | Total                     | 1099
decoder.ethernet                              | Total                     | 9182
decoder.arp                                   | Total                     | 633
decoder.unknown_ethertype                     | Total                     | 206
decoder.tcp                                   | Total                     | 5600
tcp.syn                                       | Total                     | 762
tcp.synack                                    | Total                     | 384
tcp.rst                                       | Total                     | 28
decoder.udp                                   | Total                     | 2439
decoder.icmpv4                                | Total                     | 7
decoder.icmpv6                                | Total                     | 283
decoder.avg_pkt_size                          | Total                     | 215
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 135
flow.total                                    | Total                     | 1170
flow.active                                   | Total                     | 450
flow.tcp                                      | Total                     | 671
flow.udp                                      | Total                     | 480
flow.icmpv4                                   | Total                     | 3
flow.icmpv6                                   | Total                     | 16
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.spare_sync_incomplete                | Total                     | 1
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
decoder.event.ipv4.opt_pad_required           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 17
flow.wrk.flows_evicted_needs_work             | Total                     | 463
flow.wrk.flows_evicted_pkt_inject             | Total                     | 689
flow.wrk.flows_evicted                        | Total                     | 73
flow.wrk.flows_injected                       | Total                     | 463
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 638
tcp.ssn_from_cache                            | Total                     | 413
tcp.ssn_from_pool                             | Total                     | 225
tcp.segment_from_cache                        | Total                     | 172
tcp.segment_from_pool                         | Total                     | 812
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 113
app_layer.flow.tls                            | Total                     | 25
app_layer.flow.dns_tcp                        | Total                     | 40
app_layer.tx.dns_tcp                          | Total                     | 80
app_layer.flow.quic                           | Total                     | 13
app_layer.tx.quic                             | Total                     | 67
app_layer.flow.snmp                           | Total                     | 35
app_layer.tx.snmp                             | Total                     | 80
app_layer.flow.failed_tcp                     | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 183
app_layer.tx.dns_udp                          | Total                     | 366
app_layer.flow.failed_udp                     | Total                     | 249
flow.end.state.new                            | Total                     | 447
flow.end.state.closed                         | Total                     | 273
flow.end.tcp_state.syn_sent                   | Total                     | 229
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 4
flow.end.tcp_state.closed                     | Total                     | 269
flow.mgr.full_hash_pass                       | Total                     | 28
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9256
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 2180
flow.mgr.flows_notimeout                      | Total                     | 1462
flow.mgr.flows_timeout                        | Total                     | 718
flow.mgr.flows_evicted                        | Total                     | 719
flow.mgr.flows_evicted_needs_work             | Total                     | 463
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 256
flow.recycler.queue_max                       | Total                     | 10
tcp.memuse                                    | Total                     | 3113216
tcp.reassembly_memuse                         | Total                     | 878592
http.memuse                                   | Total                     | 5082
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:21:48 (uptime: 0d, 00h 05m 02s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 9589
capture.afpacket.polls                        | Total                     | 18331
capture.afpacket.poll_timeout                 | Total                     | 11405
capture.afpacket.poll_data                    | Total                     | 6926
decoder.pkts                                  | Total                     | 9617
decoder.bytes                                 | Total                     | 2044342
decoder.ipv4                                  | Total                     | 7518
decoder.ipv6                                  | Total                     | 1134
decoder.ethernet                              | Total                     | 9617
decoder.arp                                   | Total                     | 756
decoder.unknown_ethertype                     | Total                     | 211
decoder.tcp                                   | Total                     | 5834
tcp.syn                                       | Total                     | 791
tcp.synack                                    | Total                     | 399
tcp.rst                                       | Total                     | 28
decoder.udp                                   | Total                     | 2501
decoder.icmpv4                                | Total                     | 7
decoder.icmpv6                                | Total                     | 294
decoder.avg_pkt_size                          | Total                     | 212
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 152
flow.total                                    | Total                     | 1217
flow.active                                   | Total                     | 471
flow.tcp                                      | Total                     | 698
flow.udp                                      | Total                     | 500
flow.icmpv4                                   | Total                     | 3
flow.icmpv6                                   | Total                     | 16
flow.wrk.spare_sync_avg                       | Total                     | 99
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.spare_sync_incomplete                | Total                     | 1
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
decoder.event.ipv4.opt_pad_required           | Total                     | 12
decoder.event.ipv6.zero_len_padn              | Total                     | 17
flow.wrk.flows_evicted_needs_work             | Total                     | 472
flow.wrk.flows_evicted_pkt_inject             | Total                     | 704
flow.wrk.flows_evicted                        | Total                     | 74
flow.wrk.flows_injected                       | Total                     | 472
flow.wrk.flows_injected_max                   | Total                     | 2
tcp.sessions                                  | Total                     | 665
tcp.ssn_from_cache                            | Total                     | 438
tcp.ssn_from_pool                             | Total                     | 227
tcp.segment_from_cache                        | Total                     | 186
tcp.segment_from_pool                         | Total                     | 855
tcp.overlap                                   | Total                     | 1
app_layer.flow.http                           | Total                     | 3
app_layer.tx.http                             | Total                     | 119
app_layer.flow.tls                            | Total                     | 27
app_layer.flow.dns_tcp                        | Total                     | 44
app_layer.tx.dns_tcp                          | Total                     | 88
app_layer.flow.quic                           | Total                     | 13
app_layer.tx.quic                             | Total                     | 67
app_layer.flow.snmp                           | Total                     | 35
app_layer.tx.snmp                             | Total                     | 80
app_layer.flow.failed_tcp                     | Total                     | 7
app_layer.flow.dns_udp                        | Total                     | 191
app_layer.tx.dns_udp                          | Total                     | 382
app_layer.flow.failed_udp                     | Total                     | 261
flow.end.state.new                            | Total                     | 466
flow.end.state.closed                         | Total                     | 280
flow.end.tcp_state.syn_sent                   | Total                     | 232
flow.end.tcp_state.syn_recv                   | Total                     | 1
flow.end.tcp_state.last_ack                   | Total                     | 4
flow.end.tcp_state.closed                     | Total                     | 276
flow.mgr.full_hash_pass                       | Total                     | 29
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9270
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 2247
flow.mgr.flows_notimeout                      | Total                     | 1503
flow.mgr.flows_timeout                        | Total                     | 744
